ID,iNSC_1,iNSC_2,iNSC_3,HNF_1,HNF_2,HNF_3,WT-NSC_1,WT-NSC_2,WT-NSC_3
A1BG,19.8244,1,20.5598,141.73,293.076,4.15967,7.73026,9.23521,13.0132
A1BG-AS1,84.5146,56.5273,69.2539,138.453,64.861,56.5715,66.0586,56.9504,51.0519
A2M,947.398,785.199,917.614,385.048,879.227,454.236,7695.82,9675.42,6750.86
A2M-AS1,49.0393,76.8418,57.3509,3.277,39.6373,4.9916,4.2165,10.7744,3.00305
A4GALT,3.13017,1,2.16418,286.738,93.6881,15.8067,2.811,13.8528,8.00814
AAAS,501.87,368.311,505.337,688.99,233.019,257.899,304.291,363.251,307.312
AACS,317.19,216.393,328.956,591.499,180.169,169.714,269.856,344.781,311.317
AADAT,180.506,202.262,145,65.54,117.711,63.227,104.007,87.7345,90.0916
AAED1,45.9092,57.4105,38.9553,129.442,172.963,161.395,48.4898,44.6368,49.0499
AAGAB,521.695,568.806,454.479,575.114,628.191,1059.05,625.448,487.927,551.561
AAK1,616.643,756.052,737.987,436.66,1265.99,406.816,780.053,681.866,753.766
AAMDC,74.0807,78.6082,64.9255,335.073,109.303,108.151,37.9485,23.088,51.0519
AAMP,571.778,433.67,610.3,1127.29,381.959,565.715,471.546,654.16,539.549
AAR2,328.668,346.23,359.255,543.982,389.166,351.076,354.186,389.418,365.371
AARD,4.17356,7.94915,11.903,4.09625,12.0113,27.4538,15.4605,9.23521,10.0102
AARS,1788.37,1794.74,1547.39,2071.88,1780.07,1637.25,1144.08,1299.09,1293.31
AARS2,189.897,142.201,248.881,182.693,133.325,63.227,212.933,258.586,203.207
AARSD1,163.812,193.429,147.165,672.605,354.333,308.647,177.796,146.224,160.163
AASDH,145.031,186.363,161.232,71.2748,172.963,217.135,112.44,109.283,77.0784
AASDHPPT,547.78,582.938,563.77,116.334,313.495,979.186,413.92,390.957,466.474
AASS,494.567,534.359,485.859,116.334,224.611,200.496,598.041,544.877,529.538
AATF,305.713,314.433,301.904,668.508,410.786,717.959,235.422,250.89,277.282
ABAT,614.557,528.177,707.688,6.554,25.2237,11.6471,277.587,394.035,195.198
ABCA1,1062.17,1012.19,917.614,194.162,553.721,557.396,1444.15,1523.81,1844.88
ABCA11P,54.2563,49.4614,50.8583,18.8428,44.4418,93.1766,63.9503,49.2544,74.0753
ABCA13,8.34712,22.081,16.2314,1,1,3.32773,288.128,392.496,403.41
ABCA2,518.565,208.444,877.577,181.054,94.8893,123.126,349.267,820.394,625.636
ABCA3,328.668,191.663,570.263,32.77,37.235,24.1261,582.58,1222.13,764.778
ABCA4,4.17356,1,1,8.1925,4.80452,9.15127,17.5688,36.9408,22.0224
ABCA5,66.7769,90.9736,62.7613,125.345,289.472,292.009,86.4383,87.7345,84.0855
ABCA6,1,1,1,11.4695,54.0508,14.1429,2.10825,4.6176,1.00102
ABCA7,149.205,74.192,222.911,30.3123,36.0339,9.15127,79.4108,58.4896,119.121
ABCA8,1,1,1,1,1,38.2689,77.3026,80.0385,79.0804
ABCA9,1,1,1,14.7465,67.2633,9.15127,3.51375,1.5392,4.00407
ABCB1,3.13017,9.71563,2.16418,1,1,4.15967,262.126,298.605,252.256
ABCB10,127.294,168.699,142.836,122.068,133.325,138.933,152.497,133.91,117.119
ABCB4,141.901,115.704,102.799,36.047,10.8102,5.82354,78.7081,56.9504,82.0835
ABCB6,821.148,640.348,727.166,456.322,140.532,122.294,345.753,441.751,388.395
ABCB7,236.849,248.19,252.127,158.935,212.6,165.555,283.209,169.312,232.236
ABCB8,222.242,113.055,352.762,244.956,135.728,89.8488,160.93,318.615,242.246
ABCB9,53.2129,30.0301,62.7613,53.2513,34.8328,18.3025,52.0036,89.2737,99.1008
ABCC1,946.355,784.316,948.995,696.363,623.386,623.95,913.576,1038.96,1004.02
ABCC10,254.587,155.45,268.359,249.871,94.8893,189.681,274.073,350.938,341.347
ABCC2,1.04339,6.18267,1,1,4.80452,5.82354,13.3523,7.69601,18.0183
ABCC3,3142.69,2530.48,3051.5,618.534,428.803,394.337,281.1,420.202,300.305
ABCC4,295.279,399.224,312.725,338.35,779.533,489.177,287.425,300.144,303.308
ABCC5,353.709,337.397,255.374,264.618,266.651,84.0253,572.039,607.984,558.568
ABCC6,17.7376,10.5989,3.24628,9.83101,1,7.4874,20.3798,13.8528,19.0193
ABCC6P1,1,1,3.24628,1,1,1,21.7853,16.9312,11.0112
ABCC6P2,13.5641,8.83239,10.8209,4.09625,1,4.15967,6.32476,1.5392,2.00204
ABCC9,10.4339,10.5989,7.57465,30.3123,150.141,229.614,4.91926,9.23521,3.00305
ABCD1,140.858,59.177,164.478,110.599,50.4475,78.2018,111.737,201.635,177.18
ABCD2,20.8678,36.2128,41.1195,1,1,1,21.7853,15.392,14.0142
ABCD3,919.226,1006.01,939.256,240.04,444.418,481.69,779.351,741.895,694.706
ABCD4,484.133,356.828,422.016,321.965,134.527,72.3782,464.518,440.212,505.514
ABCE1,526.912,714.54,535.636,344.085,653.415,1221.28,639.503,492.544,475.483
ABCF1,849.319,853.209,889.48,1627.03,1704.4,696.328,862.978,883.501,925.941
ABCF2,651.075,605.902,592.987,1037.99,590.956,1102.31,585.391,571.044,604.615
ABCF3,465.352,379.793,510.748,545.621,249.835,324.454,420.245,464.839,519.528
ABCG4,22.9546,16.7815,16.2314,15.5658,4.80452,1,12.6495,29.2448,17.0173
ABHD10,226.416,245.54,201.269,279.364,241.427,348.58,243.152,184.704,170.173
ABHD11,85.558,51.2278,88.7316,223.655,99.6938,34.9412,66.7613,92.3521,78.0794
ABHD12,618.73,427.488,660.076,1038.81,498.469,629.774,447.652,450.986,421.428
ABHD13,182.593,208.444,204.515,86.8405,146.538,343.589,168.66,163.155,168.171
ABHD14A,45.9092,18.548,58.433,262.979,75.6712,30.7815,35.1375,40.0192,35.0356
ABHD14A-ACY1,21.9112,71.5423,54.1046,16.385,1,68.2186,7.73026,35.4016,1.00102
ABHD14B,135.641,115.704,129.851,979.004,711.069,245.42,54.8146,80.0385,61.0621
ABHD15,103.296,95.3898,128.769,163.85,147.739,59.0673,97.6824,83.1169,74.0753
ABHD16A,457.005,231.409,467.464,496.466,176.566,379.362,364.025,469.456,429.437
ABHD16B,1,1,6.49255,22.939,7.20678,1.66387,2.10825,3.0784,9.00916
ABHD17A,26.0847,9.71563,66.0076,84.3828,57.6542,26.6219,26.0018,81.5777,54.055
ABHD17B,206.591,218.16,188.284,88.479,168.158,103.992,174.282,138.528,170.173
ABHD17C,147.118,113.055,143.918,268.714,269.053,87.353,255.099,238.576,172.175
ABHD2,891.055,1059,1191.38,281.003,464.837,388.513,2209.45,2393.46,2230.27
ABHD3,119.99,126.303,103.881,26.216,45.6429,45.7563,153.2,124.675,178.181
ABHD4,1380.4,1059,1302.84,784.842,390.367,1007.47,857.356,1105.15,936.953
ABHD5,234.763,279.103,222.911,224.475,354.333,587.345,252.99,193.939,209.213
ABHD6,73.0373,65.3597,95.2241,40.1433,86.4813,79.8656,371.755,466.378,421.428
ABHD8,29.2149,8.83239,66.0076,72.9133,15.6147,30.7815,42.165,83.1169,75.0763
ABI1,619.774,784.316,599.479,343.266,664.225,753.732,557.984,534.103,543.553
ABI2,1377.27,1727.61,1460.82,387.505,417.993,492.505,1692.22,1522.27,1587.61
ABI3BP,1.04339,1,1.08209,82.7443,110.504,169.714,3.51375,3.0784,1
ABL1,1223.9,998.06,1659.93,686.532,861.21,911.799,1110.35,1502.26,1415.44
ABL2,550.91,808.163,627.613,404.71,1216.74,697.992,911.468,743.434,899.915
ABLIM1,378.75,490.197,412.277,102.406,156.147,153.908,711.184,649.543,561.571
ABLIM3,1,1,1,1228.88,724.281,952.564,4.2165,3.0784,7.00712
ABR,1141.47,890.305,1363.44,826.624,645.007,481.69,1758.99,2358.06,2082.12
ABRACL,138.771,137.785,100.635,294.111,171.762,224.622,130.712,95.4305,126.128
ABT1,101.209,80.3747,97.3883,253.968,97.2915,123.958,88.5466,140.067,109.111
ABTB1,80.341,47.6949,94.142,439.937,261.846,33.2773,53.4091,72.3425,46.0468
ABTB2,93.9051,72.4256,116.866,47.5165,8.40791,44.9244,192.554,301.683,302.307
ACAA1,376.664,282.636,338.695,757.807,213.801,341.925,474.357,567.965,455.463
ACAA2,1577.61,1786.79,1361.27,511.212,368.747,440.093,777.242,732.66,625.636
ACACA,1030.87,1202.97,1068.02,672.605,1008.95,475.866,1210.84,1191.34,1244.27
ACACB,178.42,108.638,150.411,58.1668,94.8893,14.9748,127.901,195.479,161.164
ACAD10,337.015,249.957,327.874,184.331,80.4757,61.5631,227.691,246.272,226.23
